alignment,ba,bna,category,dnmalignment,nba,nbna,replierId,speakerId
0.9315582040049436,10,0,i,0.07575757575757569,1,1,XewWJxxCdCLzyRgWG,cGXc9yZzKxhhprpcL
-0.7985076962177717,2,3,in,-0.16666666666666669,6,1,XewWJxxCdCLzyRgWG,cGXc9yZzKxhhprpcL
1.466337068793427,0,0,inside,0.0,1,11,XewWJxxCdCLzyRgWG,cGXc9yZzKxhhprpcL
1.466337068793427,0,0,is,0.0,1,11,XewWJxxCdCLzyRgWG,cGXc9yZzKxhhprpcL
0.4418327522790393,1,0,it,0.05952380952380952,6,5,XewWJxxCdCLzyRgWG,cGXc9yZzKxhhprpcL
1.466337068793427,0,0,like,0.0,1,11,XewWJxxCdCLzyRgWG,cGXc9yZzKxhhprpcL
0.0,0,2,ok,-0.16666666666666666,2,8,XewWJxxCdCLzyRgWG,cGXc9yZzKxhhprpcL
0.0,1,5,on,0.0,1,5,XewWJxxCdCLzyRgWG,cGXc9yZzKxhhprpcL
0.36772478012531723,1,5,one,0.5,0,6,XewWJxxCdCLzyRgWG,cGXc9yZzKxhhprpcL
1.466337068793427,0,0,or,0.0,1,11,XewWJxxCdCLzyRgWG,cGXc9yZzKxhhprpcL
1.0986122886681098,0,0,ten,0.0,2,10,XewWJxxCdCLzyRgWG,cGXc9yZzKxhhprpcL
1.0986122886681098,0,0,that,0.0,2,10,XewWJxxCdCLzyRgWG,cGXc9yZzKxhhprpcL
0.8209805520698301,9,1,the,0.16666666666666663,0,2,XewWJxxCdCLzyRgWG,cGXc9yZzKxhhprpcL
-0.8754687373539,0,3,three,-0.25,4,5,XewWJxxCdCLzyRgWG,cGXc9yZzKxhhprpcL
0.7884573603642704,0,0,to,0.0,3,9,XewWJxxCdCLzyRgWG,cGXc9yZzKxhhprpcL
0.12783337150988483,4,1,we,0.027777777777777735,5,2,XewWJxxCdCLzyRgWG,cGXc9yZzKxhhprpcL
1.466337068793427,0,0,what,0.0,1,11,XewWJxxCdCLzyRgWG,cGXc9yZzKxhhprpcL
1.0986122886681098,0,0,will,0.0,2,10,XewWJxxCdCLzyRgWG,cGXc9yZzKxhhprpcL
